userid,serviceid,lam1000,lam3000,lam5000,effencicy
435,435-4,0.29,0.87,1.68,1.7
435,435-3,0.33,1.13,1.78,1.9
435,435-2,0.39,1.01,1.77,1.86
435,435-1,0.38,0.96,1.74,1.75
436,436-5,0.33,1.13,1.45,1.63
436,436-4,0.34,1.33,1.85,1.92
436,436-3,0.3,1.01,1.81,1.81
436,436-2,0.36,1.05,1.46,1.52
436,436-1,0.34,1.01,1.57,1.59
437,437-5,0.4,0.97,1.75,1.77
437,437-4,0.24,0.83,1.82,1.91
437,437-3,0.37,0.88,1.56,1.71
437,437-2,0.43,0.96,1.72,1.86
437,437-1,0.39,0.94,1.6,1.62
438,438-5,0.18,1.09,1.74,1.87
438,438-4,0.37,1.01,1.75,1.77
438,438-3,0.34,1.24,1.62,1.75
438,438-2,0.34,0.81,1.8,1.92
438,438-1,0.36,1.04,1.36,1.58
439,439-4,0.31,1.23,1.84,1.96
439,439-3,0.31,1.02,1.57,1.68
439,439-2,0.26,0.98,1.61,1.76
439,439-1,0.38,1.04,1.57,1.58
440,440-3,0.26,0.94,1.65,1.74
440,440-2,0.29,1.09,1.98,2.0
440,440-1,0.44,1.06,1.76,1.88
441,441-3,0.32,1.2,1.52,1.56
441,441-2,0.27,1.07,1.74,1.83
441,441-1,0.29,0.94,1.74,1.79
442,442-3,0.26,1.02,1.49,1.5
442,442-2,0.34,1.02,1.53,1.63
442,442-1,0.36,1.12,1.79,1.82
443,443-1,0.36,1.01,1.65,1.75
444,444-1,0.3,0.88,1.47,1.48
445,445-2,0.35,0.93,1.61,1.63
445,445-1,0.37,0.93,1.67,1.76
446,446-4,0.35,1.07,1.73,1.78
446,446-3,0.32,1.03,1.51,1.9
446,446-2,0.38,0.94,1.78,1.87
446,446-1,0.32,1.19,1.78,1.83
447,447-2,0.39,1.05,1.58,1.73
447,447-1,0.4,0.91,1.76,1.85
448,448-4,0.36,0.99,1.76,1.85
448,448-3,0.3,1.11,1.82,1.82
448,448-2,0.32,1.02,1.55,1.65
448,448-1,0.31,1.06,1.69,1.78
449,449-5,0.44,1.16,1.51,1.64
449,449-4,0.32,0.99,1.87,1.92
449,449-3,0.35,0.86,1.59,1.63
449,449-2,0.38,1.01,1.8,1.85
449,449-1,0.42,0.95,1.8,1.95
450,450-1,0.45,1.11,1.37,1.38
451,451-5,0.43,0.81,1.8,1.9
451,451-4,0.5,1.08,1.81,1.88
451,451-3,0.36,1.04,1.64,1.69
451,451-2,0.41,1.0,1.68,1.69
451,451-1,0.31,0.87,1.85,1.96
452,452-1,0.37,1.0,1.65,1.66
453,453-2,0.38,0.93,1.75,1.8
453,453-1,0.38,1.14,1.61,1.68
454,454-4,0.35,1.2,1.59,1.6
454,454-3,0.37,1.03,1.66,1.77
454,454-2,0.32,1.22,1.68,1.69
454,454-1,0.36,1.22,1.75,1.79
455,455-5,0.35,0.88,1.59,1.74
455,455-4,0.3,1.1,1.63,1.68
455,455-3,0.33,0.89,1.71,1.83
455,455-2,0.27,1.09,1.4,1.44
455,455-1,0.25,0.81,1.7,1.82
456,456-5,0.42,0.99,1.55,1.99
456,456-4,0.26,1.27,1.73,1.88
456,456-3,0.24,1.14,1.85,1.99
456,456-2,0.35,0.94,1.76,1.8
456,456-1,0.32,1.1,1.67,1.81
457,457-5,0.3,1.04,1.69,1.73
457,457-4,0.35,0.83,1.65,1.99
457,457-3,0.35,1.1,1.71,1.92
457,457-2,0.38,1.18,1.71,1.83
457,457-1,0.38,0.99,1.64,1.79
458,458-3,0.4,0.9,1.52,1.64
458,458-2,0.41,0.89,1.87,1.88
458,458-1,0.28,1.0,1.49,1.64
459,459-4,0.38,1.07,1.55,1.79
459,459-3,0.39,1.0,1.64,1.64
459,459-2,0.4,1.0,1.75,1.88
459,459-1,0.34,0.92,1.79,1.84
460,460-4,0.24,1.08,1.69,1.82
460,460-3,0.34,1.2,1.61,1.85
460,460-2,0.32,1.12,1.59,1.68
460,460-1,0.31,0.98,1.73,1.98
461,461-4,0.34,0.85,1.82,1.95
461,461-3,0.44,1.14,1.64,1.65
461,461-2,0.42,0.95,1.9,1.96
461,461-1,0.26,0.92,1.64,1.89
462,462-4,0.29,0.99,1.66,1.74
462,462-3,0.38,1.07,1.68,1.81
462,462-2,0.35,1.1,1.54,1.59
462,462-1,0.37,1.03,1.81,1.95
463,463-2,0.37,1.2,1.68,1.8
463,463-1,0.35,1.03,1.5,1.85
464,464-3,0.32,1.06,1.48,1.48
464,464-2,0.37,1.06,1.67,1.98
464,464-1,0.33,1.23,0.02,1.61
465,465-5,0.29,1.07,1.73,1.74
465,465-4,0.31,0.94,1.7,1.73
465,465-3,0.36,1.01,1.5,1.64
465,465-2,0.28,1.08,1.68,1.89
465,465-1,0.44,1.02,1.66,1.7
466,466-1,0.32,0.96,1.6,1.68
467,467-1,0.29,1.1,1.61,1.73
468,468-4,0.46,1.0,1.69,1.78
468,468-3,0.23,1.0,1.75,1.79
468,468-2,0.29,1.04,1.54,1.57
468,468-1,0.36,1.1,1.88,1.98
469,469-2,0.42,1.09,1.53,1.59
469,469-1,0.32,1.19,1.51,1.58
470,470-1,0.36,1.06,1.67,1.74
471,471-2,0.35,1.17,1.51,1.88
471,471-1,0.31,0.89,1.88,1.88
472,472-3,0.37,0.95,1.69,1.8
472,472-2,0.38,1.11,1.69,1.75
472,472-1,0.46,1.0,1.67,1.87
473,473-4,0.42,1.05,1.37,1.42
473,473-3,0.33,0.94,1.6,1.7
473,473-2,0.41,1.15,1.52,1.57
473,473-1,0.33,1.03,1.52,1.62
474,474-3,0.41,0.95,1.61,1.98
474,474-2,0.21,0.83,1.49,1.55
474,474-1,0.23,0.91,1.65,1.69
475,475-3,0.36,1.07,1.58,1.69
475,475-2,0.28,0.97,1.47,1.47
475,475-1,0.36,0.97,1.71,1.79
476,476-4,0.41,0.96,1.71,1.95
476,476-3,0.27,0.94,1.51,1.53
476,476-2,0.4,0.97,1.68,1.82
476,476-1,0.36,1.2,1.91,1.95
477,477-5,0.31,1.08,1.91,2.0
477,477-4,0.38,1.09,1.62,1.69
477,477-3,0.37,0.97,1.73,1.78
477,477-2,0.33,1.18,1.88,1.93
477,477-1,0.38,1.05,1.74,1.86
478,478-4,0.31,0.93,1.47,1.53
478,478-3,0.33,0.97,1.58,1.93
478,478-2,0.44,1.18,1.53,1.59
478,478-1,0.34,1.1,1.93,1.95
479,479-2,0.23,1.13,1.78,1.86
479,479-1,0.33,1.01,1.52,1.84
480,480-2,0.38,0.93,1.78,1.88
480,480-1,0.28,0.94,1.75,1.79
481,481-2,0.34,1.02,1.79,1.9
481,481-1,0.3,1.1,1.26,1.52
482,482-1,0.37,1.11,1.52,1.66
483,483-2,0.34,0.96,1.65,1.78
483,483-1,0.3,0.91,1.63,1.68
484,484-1,0.29,1.0,1.61,1.73
485,485-3,0.39,0.92,1.43,1.83
485,485-2,0.35,1.0,1.79,1.93
485,485-1,0.37,0.92,1.72,1.75
486,486-3,0.35,0.87,1.95,1.96
486,486-2,0.37,1.01,1.45,1.57
486,486-1,0.35,0.97,1.66,1.67
487,487-5,0.41,1.22,1.9,1.94
487,487-4,0.28,0.99,1.61,1.61
487,487-3,0.53,0.92,1.89,1.97
487,487-2,0.36,1.24,1.7,1.72
487,487-1,0.32,1.14,1.87,1.99
488,488-5,0.3,0.86,1.58,1.64
488,488-4,0.37,0.92,1.56,1.64
488,488-3,0.28,1.17,1.63,1.76
488,488-2,0.33,1.05,1.85,1.89
488,488-1,0.41,1.04,1.9,1.96
489,489-4,0.35,1.13,1.46,1.93
489,489-3,0.26,1.01,1.64,1.72
489,489-2,0.28,1.08,1.77,1.9
489,489-1,0.33,1.13,1.84,1.89
490,490-5,0.36,1.12,1.54,1.78
490,490-4,0.3,1.15,1.84,1.97
490,490-3,0.32,1.05,1.73,1.86
490,490-2,0.26,1.01,1.59,1.71
490,490-1,0.29,0.95,1.74,1.78
491,491-3,0.4,1.16,1.81,1.87
491,491-2,0.32,0.99,1.5,1.72
491,491-1,0.29,1.14,1.78,1.78
492,492-4,0.27,0.94,1.68,1.7
492,492-3,0.33,1.01,1.85,1.9
492,492-2,0.35,1.21,1.81,1.9
492,492-1,0.36,1.0,1.88,2.0
493,493-1,0.28,0.96,1.62,1.64
494,494-2,0.29,0.92,1.8,1.84
494,494-1,0.33,1.09,1.74,1.95
495,495-3,0.34,0.97,1.75,1.82
495,495-2,0.38,1.04,1.55,1.59
495,495-1,0.35,1.05,1.81,1.93
496,496-4,0.33,1.0,1.72,1.74
496,496-3,0.44,0.99,1.75,1.79
496,496-2,0.35,1.01,1.47,1.51
496,496-1,0.26,1.11,1.49,1.6
497,497-4,0.42,1.12,1.52,1.52
497,497-3,0.32,0.86,1.72,1.73
497,497-2,0.35,1.0,1.66,1.7
497,497-1,0.37,0.98,1.72,1.78
498,498-1,0.35,1.24,1.86,1.95
499,499-3,0.4,0.97,1.67,1.82
499,499-2,0.31,0.94,1.44,1.58
499,499-1,0.25,1.0,1.69,1.77
500,500-1,0.35,1.04,1.75,1.84
501,501-3,0.25,1.01,1.58,1.6
501,501-2,0.33,1.24,1.47,1.56
501,501-1,0.31,1.16,1.6,1.92
502,502-3,0.31,0.97,1.68,1.72
502,502-2,0.37,1.07,1.55,1.69
502,502-1,0.38,1.03,1.66,1.75
503,503-1,0.33,1.02,1.69,1.84
504,504-1,0.39,0.88,1.68,1.86
505,505-2,0.31,0.84,1.63,1.71
505,505-1,0.3,1.22,1.54,1.61
506,506-3,0.3,1.07,1.83,1.97
506,506-2,0.32,0.79,1.59,1.59
506,506-1,0.41,0.93,1.89,1.96
507,507-1,0.4,1.11,1.83,1.96
508,508-1,0.36,1.08,1.62,1.74
509,509-1,0.25,1.09,1.88,2.0
510,510-3,0.32,1.08,1.76,1.84
510,510-2,0.39,1.01,1.76,1.83
510,510-1,0.4,1.24,1.59,1.7
511,511-1,0.27,1.03,1.75,1.75
512,512-3,0.44,1.06,1.47,1.57
512,512-2,0.33,1.06,0.02,1.98
512,512-1,0.3,1.14,1.91,1.96
513,513-4,0.31,0.94,1.87,2.0
513,513-3,0.26,1.0,1.49,1.57
513,513-2,0.36,1.04,1.72,1.99
513,513-1,0.32,0.93,1.76,1.88
514,514-4,0.28,1.07,1.67,1.75
514,514-3,0.21,1.02,1.55,1.57
514,514-2,0.3,1.05,1.54,1.64
514,514-1,0.31,1.05,1.8,1.87
515,515-5,0.3,1.02,1.59,1.61
515,515-4,0.33,1.09,1.71,1.84
515,515-3,0.25,1.04,0.02,1.39
515,515-2,0.35,1.07,1.81,1.96
515,515-1,0.33,1.18,1.64,1.93
516,516-5,0.55,0.94,1.66,1.8
516,516-4,0.35,0.92,1.87,1.99
516,516-3,0.29,1.22,1.68,1.75
516,516-2,0.34,1.01,1.7,1.84
516,516-1,0.38,0.96,1.64,1.69
517,517-4,0.32,0.94,1.66,1.78
517,517-3,0.45,0.92,1.73,1.76
517,517-2,0.32,1.14,1.52,1.55
517,517-1,0.37,0.93,1.53,1.67
518,518-4,0.3,1.0,1.76,1.82
518,518-3,0.36,0.98,1.76,1.82
518,518-2,0.29,0.9,1.75,1.95
518,518-1,0.31,1.05,1.68,1.82
519,519-1,0.27,0.99,1.78,1.85
520,520-4,0.28,0.95,1.54,1.69
520,520-3,0.33,0.94,1.55,1.57
520,520-2,0.22,1.04,1.64,1.69
520,520-1,0.32,0.89,1.82,1.96
521,521-3,0.25,1.08,1.6,1.7
521,521-2,0.35,1.0,1.62,1.7
521,521-1,0.31,0.94,1.82,1.9
522,522-3,0.41,0.96,1.72,1.75
522,522-2,0.36,1.02,1.76,1.86
522,522-1,0.34,1.14,1.54,1.54
523,523-2,0.35,0.95,1.41,1.96
523,523-1,0.38,1.01,1.78,1.89
524,524-5,0.45,0.98,1.53,1.54
524,524-4,0.35,1.04,1.88,2.0
524,524-3,0.24,1.06,1.45,1.51
524,524-2,0.32,0.87,1.51,1.61
524,524-1,0.36,0.87,1.82,1.94
525,525-5,0.33,0.99,1.57,1.66
525,525-4,0.36,1.02,1.39,1.81
525,525-3,0.33,0.96,1.54,1.81
525,525-2,0.26,0.84,1.79,1.97
525,525-1,0.2,1.17,1.35,1.91
526,526-2,0.31,1.07,1.66,1.79
526,526-1,0.41,1.1,1.71,1.79
527,527-1,0.3,1.14,1.55,1.56
528,528-1,0.14,0.96,1.73,1.77
529,529-1,0.3,0.89,1.64,1.78
530,530-5,0.3,1.02,1.62,1.7
530,530-4,0.38,1.02,1.6,1.85
530,530-3,0.33,1.2,1.65,1.7
530,530-2,0.28,1.13,1.82,1.85
530,530-1,0.32,1.14,1.63,1.71
531,531-3,0.37,1.16,1.78,1.88
531,531-2,0.27,1.04,1.62,1.73
531,531-1,0.38,1.23,1.67,1.73
532,532-1,0.31,1.0,1.59,1.63
533,533-4,0.3,1.09,1.6,1.75
533,533-3,0.3,1.07,1.52,1.59
533,533-2,0.31,1.0,1.41,1.97
533,533-1,0.38,1.16,1.85,1.96
534,534-5,0.37,0.92,1.89,1.94
534,534-4,0.28,1.18,1.62,1.69
534,534-3,0.31,1.02,1.54,1.57
534,534-2,0.33,0.87,1.53,1.79
534,534-1,0.38,1.03,1.49,1.99
535,535-4,0.36,0.87,1.7,1.82
535,535-3,0.45,0.93,1.7,1.83
535,535-2,0.35,0.98,1.69,1.94
535,535-1,0.26,1.07,1.65,1.66
536,536-2,0.37,1.01,1.8,1.97
536,536-1,0.5,0.97,1.83,1.93
537,537-2,0.36,1.09,1.69,1.79
537,537-1,0.27,0.95,1.61,1.63
538,538-1,0.4,0.8,1.48,1.6
539,539-3,0.32,0.96,1.74,1.81
539,539-2,0.26,1.01,1.74,1.79
539,539-1,0.29,0.98,1.5,1.55
540,540-5,0.46,1.03,1.6,1.92
540,540-4,0.32,0.94,1.73,1.74
540,540-3,0.37,1.17,1.72,1.79
540,540-2,0.29,1.23,1.68,1.8
540,540-1,0.35,1.11,1.77,1.88
541,541-4,0.37,1.05,1.76,1.82
541,541-3,0.32,0.96,1.53,1.66
541,541-2,0.43,1.01,1.75,1.87
541,541-1,0.32,0.77,1.54,1.65
542,542-4,0.27,1.1,1.58,1.62
542,542-3,0.28,1.01,1.7,1.8
542,542-2,0.27,1.03,1.59,1.6
542,542-1,0.26,0.94,1.83,1.9
543,543-4,0.36,1.01,1.52,1.65
543,543-3,0.28,1.01,1.56,1.61
543,543-2,0.48,1.15,1.63,1.71
543,543-1,0.31,1.1,1.72,1.77
544,544-2,0.3,1.13,1.61,1.75
544,544-1,0.3,0.84,1.63,1.68
545,545-2,0.28,1.29,1.59,1.67
545,545-1,0.36,0.94,1.65,1.96
546,546-1,0.34,1.04,1.7,1.75
547,547-2,0.36,0.89,1.94,2.0
547,547-1,0.33,1.11,1.66,1.67
548,548-5,0.42,0.97,1.68,1.72
548,548-4,0.38,0.9,1.75,1.79
548,548-3,0.31,0.85,1.75,1.85
548,548-2,0.31,1.02,1.59,1.73
548,548-1,0.38,0.92,1.65,1.85
549,549-2,0.35,1.01,1.9,1.97
549,549-1,0.44,0.79,1.69,1.84
550,550-1,0.35,0.97,1.73,1.87
551,551-5,0.28,0.96,1.51,1.95
551,551-4,0.3,0.98,1.77,1.9
551,551-3,0.41,1.01,1.71,1.83
551,551-2,0.39,0.89,1.82,1.96
551,551-1,0.43,1.08,1.69,1.78
552,552-1,0.44,1.05,1.84,1.91
553,553-5,0.31,0.91,1.56,1.64
553,553-4,0.24,0.96,1.58,1.61
553,553-3,0.37,1.08,1.63,1.91
553,553-2,0.36,1.03,1.64,1.71
553,553-1,0.3,0.87,1.72,1.95
554,554-3,0.29,1.2,0.02,1.7
554,554-2,0.26,0.85,1.48,1.91
554,554-1,0.28,0.88,1.68,1.72
555,555-5,0.37,1.16,1.52,1.58
555,555-4,0.28,1.09,1.69,1.75
555,555-3,0.39,0.98,1.56,1.63
555,555-2,0.3,1.02,1.52,1.62
555,555-1,0.31,1.01,1.53,1.84
556,556-4,0.3,1.04,1.63,1.9
556,556-3,0.37,1.0,1.92,1.92
556,556-2,0.26,0.87,1.67,1.8
556,556-1,0.34,0.99,1.71,1.77
557,557-3,0.47,0.91,1.59,1.72
557,557-2,0.39,0.92,1.58,1.65
557,557-1,0.27,0.94,1.57,1.88
558,558-4,0.4,1.16,1.69,1.72
558,558-3,0.31,1.03,1.48,1.5
558,558-2,0.27,0.85,1.6,1.7
558,558-1,0.33,0.9,1.37,1.5
559,559-3,0.37,1.03,1.52,1.58
559,559-2,0.31,0.99,1.58,1.6
559,559-1,0.36,0.91,1.72,1.81
560,560-5,0.49,1.02,1.62,1.73
560,560-4,0.25,0.93,0.02,1.24
560,560-3,0.33,1.09,1.66,1.86
560,560-2,0.28,0.95,1.61,1.75
560,560-1,0.28,1.06,1.78,1.94
561,561-5,0.36,1.08,1.76,1.91
561,561-4,0.21,1.09,1.88,2.0
561,561-3,0.38,1.01,1.41,1.45
561,561-2,0.32,0.86,1.55,1.61
561,561-1,0.36,1.09,1.53,1.67
562,562-4,0.3,0.94,1.58,1.7
562,562-3,0.28,1.0,1.68,1.71
562,562-2,0.41,0.93,1.75,1.8
562,562-1,0.33,1.15,1.45,1.5
563,563-4,0.27,1.03,1.62,1.76
563,563-3,0.38,1.06,1.48,1.49
563,563-2,0.38,1.0,1.53,1.55
563,563-1,0.26,1.05,1.69,1.74
564,564-2,0.51,0.96,1.66,1.77
564,564-1,0.34,0.84,1.54,1.7
565,565-4,0.41,1.06,1.6,1.61
565,565-3,0.35,0.98,1.41,1.74
565,565-2,0.37,1.11,1.75,1.86
565,565-1,0.24,0.93,1.85,1.87
566,566-2,0.28,0.91,1.63,1.63
566,566-1,0.46,0.8,1.67,1.99
567,567-1,0.41,0.77,1.71,1.79
568,568-1,0.25,0.98,1.6,1.65
569,569-1,0.35,0.98,1.86,1.96
570,570-3,0.33,1.02,1.6,1.71
570,570-2,0.36,1.21,1.6,1.69
570,570-1,0.4,1.11,1.56,1.87
571,571-3,0.25,1.13,1.52,1.56
571,571-2,0.44,0.78,1.61,1.64
571,571-1,0.33,1.01,1.62,1.79
572,572-2,0.38,1.21,1.81,1.83
572,572-1,0.36,1.08,1.77,1.9
573,573-2,0.3,0.91,1.63,1.63
573,573-1,0.3,1.04,1.59,1.95
574,574-2,0.4,1.0,1.58,1.67
574,574-1,0.36,0.95,1.63,1.77
575,575-1,0.28,1.05,1.44,1.86
576,576-5,0.43,0.96,1.69,1.99
576,576-4,0.29,1.04,1.72,1.74
576,576-3,0.27,1.01,1.79,1.94
576,576-2,0.28,1.07,1.62,1.69
576,576-1,0.37,0.97,1.43,1.76
577,577-2,0.3,1.02,1.63,1.67
577,577-1,0.54,0.96,1.96,2.0
578,578-2,0.45,0.87,1.77,1.83
578,578-1,0.37,1.03,1.63,1.78
579,579-4,0.31,1.03,1.74,1.83
579,579-3,0.35,1.19,1.69,1.71
579,579-2,0.25,0.85,1.62,1.76
579,579-1,0.37,0.9,1.82,1.84
580,580-5,0.25,0.93,1.81,1.89
580,580-4,0.39,1.01,1.55,1.66
580,580-3,0.25,0.93,1.45,1.81
580,580-2,0.35,0.98,1.74,1.75
580,580-1,0.39,0.94,1.76,1.85
581,581-5,0.4,1.03,1.57,1.57
581,581-4,0.32,0.87,1.47,1.83
581,581-3,0.28,0.99,0.02,1.42
581,581-2,0.34,0.92,1.55,1.59
581,581-1,0.33,1.05,0.02,1.29
582,582-2,0.36,1.08,1.48,1.58
582,582-1,0.21,1.1,1.63,1.75
583,583-4,0.32,0.96,1.59,1.8
583,583-3,0.29,0.93,1.7,1.78
583,583-2,0.44,1.09,1.59,1.91
583,583-1,0.29,0.99,1.65,1.7
584,584-3,0.29,1.21,1.83,1.9
584,584-2,0.33,1.17,1.82,1.88
584,584-1,0.32,0.97,1.75,1.78
585,585-5,0.36,1.05,1.83,1.84
585,585-4,0.33,0.95,1.64,1.67
585,585-3,0.31,0.91,1.87,1.87
585,585-2,0.25,1.0,1.67,1.73
585,585-1,0.37,0.94,1.56,1.58
586,586-4,0.42,0.95,1.63,1.75
586,586-3,0.44,1.03,1.92,1.93
586,586-2,0.37,0.87,1.56,1.62
586,586-1,0.3,0.82,1.77,1.89
587,587-4,0.41,0.94,1.88,2.0
587,587-3,0.29,0.99,1.75,1.78
587,587-2,0.42,1.0,1.64,1.72
587,587-1,0.27,0.93,1.63,1.89
588,588-2,0.3,1.13,1.57,1.59
588,588-1,0.27,1.04,1.7,1.82
589,589-4,0.39,0.96,1.64,1.76
589,589-3,0.43,0.95,1.85,1.96
589,589-2,0.34,0.9,1.73,1.85
589,589-1,0.25,1.04,1.52,1.99
590,590-5,0.42,1.06,1.9,2.0
590,590-4,0.31,1.08,1.67,1.95
590,590-3,0.27,1.08,1.82,1.84
590,590-2,0.29,1.17,1.69,1.84
590,590-1,0.4,0.91,1.7,1.81
591,591-2,0.3,1.07,1.71,1.82
591,591-1,0.25,0.97,1.67,1.75
592,592-5,0.37,1.05,1.81,1.84
592,592-4,0.4,1.08,1.81,1.85
592,592-3,0.26,1.0,1.71,1.74
592,592-2,0.28,1.07,1.88,1.95
592,592-1,0.41,0.89,1.7,1.83
593,593-5,0.36,0.99,1.65,1.77
593,593-4,0.38,1.02,1.53,1.96
593,593-3,0.38,0.98,1.62,1.71
593,593-2,0.33,1.22,1.71,1.73
593,593-1,0.32,0.98,1.49,1.56
594,594-4,0.31,0.96,1.81,1.82
594,594-3,0.36,0.97,1.29,1.29
594,594-2,0.34,1.05,1.49,1.82
594,594-1,0.41,1.1,1.8,1.88
595,595-4,0.28,0.99,1.5,1.83
595,595-3,0.31,1.07,1.65,1.76
595,595-2,0.36,0.97,1.87,1.94
595,595-1,0.25,0.96,1.63,1.99
596,596-5,0.28,1.1,1.82,1.94
596,596-4,0.38,1.02,1.72,1.86
596,596-3,0.28,1.12,1.83,1.85
596,596-2,0.44,1.13,1.98,1.98
596,596-1,0.33,1.12,1.61,1.75
597,597-4,0.33,1.14,1.63,1.75
597,597-3,0.35,0.98,1.75,1.82
597,597-2,0.31,1.1,1.61,1.72
597,597-1,0.37,0.95,1.53,1.62
598,598-1,0.35,0.88,1.76,1.88
599,599-4,0.4,1.04,1.66,1.79
599,599-3,0.27,1.08,1.52,1.57
599,599-2,0.37,1.06,1.69,1.82
599,599-1,0.37,0.93,1.62,1.75
600,600-4,0.3,1.05,1.62,1.69
600,600-3,0.37,0.99,1.76,1.78
600,600-2,0.37,1.0,1.87,1.96
600,600-1,0.28,0.86,1.79,1.9
601,601-3,0.33,0.85,1.89,2.0
601,601-2,0.37,0.92,1.78,1.79
601,601-1,0.35,1.05,1.56,1.97
602,602-3,0.39,0.97,1.85,1.96
602,602-2,0.4,1.04,1.64,1.78
602,602-1,0.35,0.98,1.9,2.0
603,603-5,0.35,1.02,1.51,1.56
603,603-4,0.34,1.13,1.8,1.83
603,603-3,0.25,0.96,1.58,1.84
603,603-2,0.37,0.91,1.78,1.99
603,603-1,0.38,1.01,1.84,1.95
604,604-1,0.24,1.2,1.62,1.99
605,605-5,0.34,1.07,1.6,1.66
605,605-4,0.28,1.12,1.64,1.65
605,605-3,0.35,1.06,1.8,1.84
605,605-2,0.43,1.17,1.34,1.39
605,605-1,0.35,0.96,1.92,1.92
606,606-5,0.33,1.01,1.7,1.76
606,606-4,0.37,1.02,1.78,1.85
606,606-3,0.36,1.26,1.52,1.52
606,606-2,0.37,1.07,1.62,1.7
606,606-1,0.4,1.06,1.75,1.85
607,607-4,0.31,0.93,1.87,1.96
607,607-3,0.35,0.96,1.81,1.93
607,607-2,0.46,0.93,1.56,1.66
607,607-1,0.38,1.2,1.8,1.85
608,608-3,0.37,1.04,1.68,1.74
608,608-2,0.24,1.16,1.69,1.97
608,608-1,0.33,1.03,1.74,1.79
609,609-2,0.38,1.14,1.61,1.96
609,609-1,0.3,1.28,1.73,1.84
610,610-3,0.49,1.22,1.81,1.89
610,610-2,0.41,0.94,1.72,1.73
610,610-1,0.42,0.99,1.68,1.91
611,611-5,0.28,1.13,1.51,1.79
611,611-4,0.3,0.98,1.38,1.48
611,611-3,0.37,1.07,1.85,1.87
611,611-2,0.26,1.04,1.51,1.74
611,611-1,0.26,0.98,1.65,1.98
612,612-5,0.32,0.99,1.72,1.78
612,612-4,0.4,1.17,1.66,1.77
612,612-3,0.32,1.05,1.73,1.83
612,612-2,0.35,1.11,1.61,1.86
612,612-1,0.29,1.1,1.51,1.66
613,613-5,0.38,1.12,1.72,1.97
613,613-4,0.33,0.9,1.52,1.56
613,613-3,0.3,0.99,1.68,1.77
613,613-2,0.25,1.12,1.79,1.94
613,613-1,0.39,1.08,1.74,1.79
614,614-1,0.42,1.09,1.83,1.95
615,615-4,0.29,0.89,1.58,1.65
615,615-3,0.36,1.05,1.81,1.89
615,615-2,0.29,1.07,1.58,1.64
615,615-1,0.39,0.8,1.45,1.67
616,616-3,0.39,1.17,1.77,1.89
616,616-2,0.33,1.18,1.47,1.59
616,616-1,0.27,1.01,1.62,1.67
617,617-5,0.38,0.87,1.69,1.74
617,617-4,0.25,1.02,1.65,1.69
617,617-3,0.3,1.15,1.7,1.81
617,617-2,0.28,0.98,1.67,1.69
617,617-1,0.32,0.87,1.7,1.72
618,618-3,0.27,1.03,1.78,1.81
618,618-2,0.49,1.29,1.48,1.54
618,618-1,0.24,1.02,1.74,1.76
619,619-3,0.23,0.87,1.73,1.76
619,619-2,0.29,1.0,1.76,1.98
619,619-1,0.33,1.03,1.44,1.57
620,620-4,0.35,0.97,1.58,1.66
620,620-3,0.41,0.89,1.42,1.74
620,620-2,0.39,1.11,1.63,1.84
620,620-1,0.22,0.97,1.77,1.86
621,621-4,0.35,0.91,1.62,1.74
621,621-3,0.26,0.96,1.54,2.0
621,621-2,0.27,1.03,1.69,1.76
621,621-1,0.44,0.94,1.66,1.71
622,622-1,0.47,0.84,1.93,2.0
623,623-2,0.34,1.03,1.58,1.96
623,623-1,0.33,1.22,1.65,1.74
624,624-1,0.28,1.09,1.46,1.72
625,625-1,0.27,0.83,1.73,1.81
626,626-1,0.32,0.94,1.71,1.74
627,627-1,0.39,1.07,1.71,1.76
628,628-3,0.31,1.04,1.5,1.51
628,628-2,0.3,1.23,1.86,1.98
628,628-1,0.38,1.1,1.48,1.51
629,629-3,0.28,0.99,1.61,1.71
629,629-2,0.41,1.0,1.63,1.75
629,629-1,0.24,1.0,1.69,1.84
630,630-1,0.3,0.99,1.66,1.68
631,631-5,0.36,1.03,1.63,1.7
631,631-4,0.35,1.0,1.86,1.91
631,631-3,0.29,1.06,1.71,1.83
631,631-2,0.35,0.9,1.65,1.7
631,631-1,0.27,1.04,1.6,1.63
632,632-3,0.3,0.93,1.66,1.76
632,632-2,0.4,1.12,1.47,1.5
632,632-1,0.22,1.03,1.55,1.58
633,633-3,0.45,0.94,1.7,1.77
633,633-2,0.37,1.14,1.71,1.75
633,633-1,0.3,0.84,1.64,1.97
634,634-5,0.33,1.04,1.62,1.65
634,634-4,0.34,1.2,1.69,1.86
634,634-3,0.26,0.88,1.81,1.94
634,634-2,0.42,1.16,1.57,1.64
634,634-1,0.4,1.06,1.74,1.86
635,635-3,0.4,1.18,1.8,1.96
635,635-2,0.33,0.87,1.76,1.84
635,635-1,0.37,1.07,1.82,1.95
636,636-1,0.31,0.91,1.66,1.69
637,637-3,0.31,1.05,1.73,1.76
637,637-2,0.39,1.17,1.61,1.67
637,637-1,0.24,0.87,1.68,1.76
638,638-3,0.35,1.03,1.8,1.81
638,638-2,0.31,0.91,1.76,1.94
638,638-1,0.33,0.9,1.59,1.66
639,639-4,0.27,0.94,1.61,1.98
639,639-3,0.31,1.16,1.72,1.83
639,639-2,0.32,0.96,1.67,1.73
639,639-1,0.44,0.86,1.63,1.64
640,640-3,0.34,0.92,1.79,1.88
